DATE,TIME,OPEN,HIGH,LOW,CLOSE,BollUp1,Boll1,BollDown1,BollUp2,Boll2,BollDown2,BollUp3,Boll3,BollDown3,SuperTrend,MACD,Signal,Histogram,RSI,%K,%D,ADX,ADXR,HistoricalVolatility,Returns,Target
07-Sep-18,10:35:00,11533.15,11543,11531.5,11541.15,11548.25,11534,11519.75,11546.21,11534,11521.79,11544.18,11534,11523.82,11521.14,2.29,2.92,-0.63,62,45.78,23.3,23.18,27.12,0.53,-0.00036818,0
07-Sep-18,10:34:00,11524.35,11532.8,11523.9,11532.55,11547.27,11533.24,11519.21,11545.27,11533.24,11521.22,11543.26,11533.24,11523.22,11538.39,1.61,3.08,-1.47,53.92,17.84,22.18,22.75,26.08,0.47,-0.000745437,0
07-Sep-18,10:33:00,11526.8,11527.2,11524.25,11524.25,11547.44,11533.07,11518.69,11545.39,11533.07,11520.74,11543.33,11533.07,11522.8,11538.39,1.6,3.45,-1.84,43.07,5.21,27.86,24.12,25.86,0.4,-0.000719961,0
07-Sep-18,10:32:00,11530.7,11532.05,11526.15,11527.2,11546.98,11533.14,11519.31,11545,11533.14,11521.28,11543.03,11533.14,11523.26,11526.25,2.41,3.91,-1.49,46.7,20.53,38.76,24.87,25.48,0.39,0.000255949,1
07-Sep-18,10:31:00,11533.75,11534,11529.75,11530.85,11546.86,11533.17,11519.48,11544.91,11533.17,11521.44,11542.95,11533.17,11523.39,11526.25,3.11,4.28,-1.17,51.7,27.16,47,26.14,25.56,0.37,0.000316592,1
07-Sep-18,10:30:00,11530.85,11534.2,11530.85,11533.6,11547.05,11533.07,11519.1,11545.05,11533.07,11521.09,11543.05,11533.07,11523.09,11526.25,3.59,4.57,-0.98,55.89,40.18,52.33,27.83,25.81,0.36,0.000238462,1
07-Sep-18,10:29:00,11533.75,11534.15,11529.7,11530.45,11547.27,11532.79,11518.3,11545.2,11532.79,11520.37,11543.13,11532.79,11522.44,11526.25,3.86,4.82,-0.96,51.73,46.2,54.61,29.33,26.25,0.37,-0.000273152,0
07-Sep-18,10:28:00,11536.4,11539,11533.75,11533.75,11547.6,11532.63,11517.65,11545.46,11532.63,11519.79,11543.32,11532.63,11521.93,11526.25,4.47,5.06,-0.58,56.95,59.72,57.6,30.96,26.95,0.35,0.000286158,1
07-Sep-18,10:27:00,11537.05,11538.85,11536.2,11536.2,11548.66,11532.08,11515.51,11546.29,11532.08,11517.88,11543.92,11532.08,11520.25,11526.25,4.85,5.2,-0.35,61.22,61.75,61.3,31.48,27.09,0.34,0.000212398,1
07-Sep-18,10:26:00,11534.6,11538.75,11534.15,11536.7,11549.48,11531.3,11513.12,11546.88,11531.3,11515.72,11544.29,11531.3,11518.32,11526.25,5.02,5.29,-0.27,62.1,53.79,66.86,31.18,27.04,0.34,4.33E-05,1
07-Sep-18,10:25:00,11532.7,11536,11531.4,11534.55,11549.59,11530.51,11511.43,11546.86,11530.51,11514.16,11544.13,11530.51,11516.88,11526.25,5.11,5.36,-0.25,59.79,51.61,74.73,30.88,26.66,0.35,-0.000186379,0
07-Sep-18,10:24:00,11534.4,11534.7,11532.15,11532.15,11549.64,11529.87,11510.1,11546.81,11529.87,11512.93,11543.99,11529.87,11515.75,11526.25,5.37,5.42,-0.05,57.08,61.11,83.07,31.03,26.53,0.35,-0.000208092,0
07-Sep-18,10:23:00,11538.25,11538.7,11534.6,11534.7,11550.69,11529.15,11507.62,11547.61,11529.15,11510.7,11544.53,11529.15,11513.77,11526.25,5.86,5.43,0.44,61.14,78.26,89.89,31.44,26.29,0.35,0.000221097,1
07-Sep-18,10:22:00,11539.9,11540.8,11538,11538.45,11551.26,11528.21,11505.16,11547.97,11528.21,11508.46,11544.67,11528.21,11511.75,11526.25,6.15,5.32,0.83,67.73,89.55,92.39,31.07,25.85,0.38,0.000325053,1
07-Sep-18,10:21:00,11537.8,11542.3,11535.4,11540.4,11551.3,11526.85,11502.4,11547.81,11526.85,11505.89,11544.32,11526.85,11509.38,11525.17,6.05,5.11,0.94,71.45,93.12,92.65,29.41,25.11,0.4,0.000168986,1
07-Sep-18,10:20:00,11535.1,11539,11535.1,11537.9,11548.26,11525.69,11503.11,11545.04,11525.69,11506.34,11541.81,11525.69,11509.56,11524.15,5.63,4.88,0.75,69.45,93.32,90.52,27.61,24.31,0.49,-0.000216654,0
07-Sep-18,10:19:00,11534.4,11535.35,11533.1,11535,11546.99,11524.32,11501.65,11543.75,11524.32,11504.89,11540.51,11524.32,11508.12,11521.22,5.27,4.69,0.58,66.97,95.22,88.68,26.09,23.41,0.5,-0.000251377,0
07-Sep-18,10:18:00,11532.35,11536.15,11532.35,11534.15,11544.64,11523.51,11502.38,11541.62,11523.51,11505.4,11538.6,11523.51,11508.42,11520.55,5.02,4.55,0.48,66.22,90.77,86.38,24.98,23.01,0.5,-7.37E-05,0
07-Sep-18,10:17:00,11526.7,11531.95,11526.2,11531.95,11542.09,11522.85,11503.6,11539.34,11522.85,11506.35,11536.59,11522.85,11509.1,11515.26,4.73,4.43,0.3,64.27,90.82,85.78,23.78,22.96,0.49,-0.000190756,0
07-Sep-18,10:16:00,11528.8,11529.65,11526.7,11526.75,11540.04,11522.2,11504.36,11537.5,11522.2,11506.91,11534.95,11522.2,11509.46,11514.74,4.5,4.35,0.15,59.1,82.47,86,23.18,23.07,0.48,-0.000451023,0
07-Sep-18,10:15:00,11525.8,11530.05,11525.8,11529.2,11539.41,11521.77,11504.13,11536.89,11521.77,11506.65,11534.37,11521.77,11509.17,11513.99,4.68,4.32,0.36,63.09,84.12,87.39,22.95,23.33,0.5,0.000212526,1
